"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","90.1","","","","1"
"2011-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","90.3","","","","1"
"2011-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","90.6","","","","1"
"2011-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","90.7","","","","1"
"2012-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","90.8","","","","1"
"2012-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","91.0","","","","1"
"2012-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","91.3","","","","1"
"2012-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","91.5","","","","1"
"2012-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","91.7","","","","1"
"2012-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","91.9","","","","1"
"2012-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","92.0","","","","1"
"2012-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","92.1","","","","1"
"2012-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","92.3","","","","1"
"2012-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","92.5","","","","1"
"2012-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","92.6","","","","1"
"2012-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","92.7","","","","1"
"2013-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","92.8","","","","1"
"2013-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","93.0","","","","1"
"2013-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","93.0","","","","1"
"2013-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","93.2","","","","1"
"2013-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","93.4","","","","1"
"2013-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","93.5","","","","1"
"2013-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","93.6","","","","1"
"2013-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","93.7","","","","1"
"2013-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","93.8","","","","1"
"2013-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","93.8","","","","1"
"2013-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","93.9","","","","1"
"2013-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","93.9","","","","1"
"2014-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","94.1","","","","1"
"2014-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","94.4","","","","1"
"2014-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","94.5","","","","1"
"2014-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","94.7","","","","1"
"2014-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","94.8","","","","1"
"2014-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","94.9","","","","1"
"2014-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","94.9","","","","1"
"2014-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","95.2","","","","1"
"2014-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","95.3","","","","1"
"2014-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","95.4","","","","1"
"2014-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","95.5","","","","1"
"2014-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","95.5","","","","1"
"2015-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","95.5","","","","1"
"2015-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","95.6","","","","1"
"2015-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","95.7","","","","1"
"2015-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","95.7","","","","1"
"2015-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","95.9","","","","1"
"2015-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","96.1","","","","1"
"2015-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","96.2","","","","1"
"2015-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","96.5","","","","1"
"2015-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","96.6","","","","1"
"2015-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","96.8","","","","1"
"2015-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","96.9","","","","1"
"2015-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","97.0","","","","1"
"2016-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","97.1","","","","1"
"2016-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","97.3","","","","1"
"2016-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","97.5","","","","1"
"2016-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","97.7","","","","1"
"2016-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","98.5","","","","1"
"2016-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","98.6","","","","1"
"2016-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","99.0","","","","1"
"2016-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","99.1","","","","1"
"2016-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","99.3","","","","1"
"2016-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","99.7","","","","1"
"2016-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","99.9","","","","1"
"2016-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","100.0","","","","1"
"2017-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","100.1","","","","1"
"2017-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","100.5","","","","1"
"2017-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","100.7","","","","1"
"2017-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","101.5","","","","1"
"2017-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","102.2","","","","1"
"2017-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","102.4","","","","1"
"2017-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","102.8","","","","1"
"2017-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","102.9","","","","1"
"2017-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.1","","","","1"
"2017-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.2","","","","1"
"2017-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.3","","","","1"
"2017-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.3","","","","1"
"2018-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.3","","","","1"
"2018-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.1","","","","1"
"2018-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.1","","","","1"
"2018-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.1","","","","1"
"2018-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.1","","","","1"
"2018-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.2","","","","1"
"2018-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.3","","","","1"
"2018-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.3","","","","1"
"2018-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.3","","","","1"
"2018-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.3","","","","1"
"2018-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","103.3","","","","1"
"2008-01","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","82.9","","","","1"
"2008-02","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","83.6","","","","1"
